iter	Passed	Remaining
0	227	227377
1	232	116005
2	237	79046
3	241	60056
4	244	48569
5	246	40911
6	248	35321
7	250	31116
8	252	27819
9	254	25212
10	256	23054
11	258	21261
12	260	19779
13	262	18467
14	263	17321
15	265	16321
16	267	15439
17	268	14654
18	270	13951
19	271	13317
20	273	12769
21	275	12259
22	277	11777
23	279	11348
24	280	10958
25	282	10587
26	284	10241
27	285	9921
28	287	9639
29	289	9366
30	291	9107
31	292	8862
32	294	8637
33	296	8419
34	297	8215
35	299	8020
36	301	7835
37	305	7731
38	309	7636
39	311	7486
40	314	7356
41	320	7299
42	324	7218
43	331	7201
44	339	7208
45	343	7127
46	345	7005
47	347	6888
48	349	6789
49	351	6680
50	353	6578
51	355	6477
52	357	6378
53	358	6285
54	364	6260
55	367	6190
56	372	6162
57	387	6287
58	389	6215
59	393	6158
60	394	6076
61	396	5994
62	397	5917
63	399	5841
64	400	5766
65	403	5704
66	404	5638
67	407	5581
68	408	5517
69	410	5451
70	411	5388
71	413	5326
72	414	5266
73	416	5216
74	419	5176
75	423	5153
76	425	5100
77	426	5046
78	428	4995
79	429	4944
80	432	4907
81	435	4874
82	437	4834
83	439	4788
84	440	4737
85	441	4697
86	443	4651
87	454	4709
88	456	4677
89	458	4635
90	460	4597
91	462	4567
92	464	4529
93	466	4494
94	476	4540
95	478	4503
96	480	4469
97	481	4432
98	492	4478
99	493	4442
100	495	4410
101	496	4371
102	506	4407
103	508	4379
104	509	4345
105	511	4313
106	512	4280
107	520	4299
108	522	4268
109	523	4236
110	524	4204
111	535	4247
112	537	4217
113	538	4186
114	540	4155
115	541	4123
116	551	4162
117	552	4133
118	554	4102
119	555	4073
120	556	4045
121	565	4072
122	566	4040
123	568	4014
124	569	3988
125	571	3962
126	577	3971
127	579	3946
128	581	3923
129	582	3900
130	584	3877
131	585	3852
132	587	3828
133	593	3833
134	594	3809
135	595	3785
136	597	3762
137	598	3738
138	599	3716
139	601	3693
140	602	3671
141	606	3665
142	607	3643
143	609	3621
144	610	3601
145	612	3580
146	613	3559
147	614	3539
148	616	3519
149	617	3499
150	620	3491
151	622	3472
152	623	3453
153	625	3435
154	626	3416
155	628	3398
156	629	3379
157	630	3361
158	632	3344
159	634	3330
160	635	3313
161	637	3296
162	638	3279
163	640	3262
164	641	3246
165	642	3230
166	644	3214
167	645	3197
168	647	3182
169	649	3169
170	650	3153
171	651	3138
172	653	3123
173	654	3107
174	656	3092
175	657	3078
176	658	3063
177	660	3048
178	661	3035
179	663	3023
180	664	3007
181	665	2992
182	667	2979
183	668	2965
184	670	2952
185	671	2938
186	672	2925
187	674	2912
188	675	2899
